epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,17.655,1.65458,7.44861,0.02512,0.00294,0.88235,0.14517,0.03936,1.73647,10.2454,0.03922,0.000583333,0.000583333,0.000583333
2,33.0765,1.49464,6.89699,0.02107,0.00333,1,0.28539,0.0935,1.62346,9.41539,0.03117,0.00122525,0.00122525,0.00122525
3,48.4858,1.33146,6.50391,0.01925,0.00333,1,0.5321,0.24115,1.36848,8.83762,0.02547,0.00184077,0.00184077,0.00184077
4,63.901,1.33494,5.48501,0.01875,0.00333,1,0.50874,0.26298,1.33783,8.54761,0.02223,0.0018812,0.0018812,0.0018812
5,79.5939,1.36441,5.64297,0.02009,0.79687,0.41176,0.63271,0.33879,0.95195,8.3954,0.01765,0.0018416,0.0018416,0.0018416
6,95.1263,1.45257,5.24197,0.02001,0.73377,0.64861,0.6901,0.3407,0.99635,8.68213,0.02031,0.001802,0.001802,0.001802
7,110.848,1.31516,5.24101,0.01997,0.72586,0.70588,0.5977,0.29917,0.90252,8.33791,0.01731,0.0017624,0.0017624,0.0017624
8,126.623,1.30129,4.86362,0.01871,0.7271,0.6278,0.6227,0.32116,0.84085,8.27089,0.01643,0.0017228,0.0017228,0.0017228
9,142.458,1.38054,4.84749,0.02085,0.72234,0.6131,0.61259,0.33271,1.13465,8.22959,0.02441,0.0016832,0.0016832,0.0016832
10,158.34,1.34589,5.12367,0.02044,0.73601,0.47059,0.4522,0.25535,1.25242,8.00421,0.02689,0.0016436,0.0016436,0.0016436
11,174.273,1.41755,5.30712,0.02096,0.69178,0.39725,0.48223,0.24378,1.24647,8.01526,0.02665,0.001604,0.001604,0.001604
12,190.034,1.22271,4.81356,0.01833,0.63612,0.64706,0.63017,0.32864,1.10649,7.67878,0.02319,0.0015644,0.0015644,0.0015644
13,205.875,1.28068,4.52152,0.01889,0.76211,0.75434,0.76078,0.44157,0.89652,7.3365,0.01767,0.0015248,0.0015248,0.0015248
14,221.864,1.15002,4.15836,0.01575,0.77139,0.79478,0.76907,0.4023,1.47074,6.52614,0.02967,0.0014852,0.0014852,0.0014852
15,237.741,1.41475,4.29192,0.022,0.74044,0.82353,0.73926,0.42761,1.56466,6.10039,0.03138,0.0014456,0.0014456,0.0014456
16,253.644,1.32941,4.12512,0.02066,0.73529,0.8173,0.69893,0.40241,1.19482,6.85872,0.02409,0.001406,0.001406,0.001406
17,269.526,1.4137,4.35774,0.02368,0.74658,0.76471,0.74915,0.39001,1.52986,5.44691,0.0306,0.0013664,0.0013664,0.0013664
18,285.557,1.12151,3.70249,0.01497,0.87464,0.821,0.76218,0.42624,1.44344,5.13748,0.02815,0.0013268,0.0013268,0.0013268
19,301.399,1.40252,3.74473,0.0206,0.77567,0.81406,0.79778,0.45328,1.32167,5.05832,0.02659,0.0012872,0.0012872,0.0012872
20,317.329,1.37215,3.8113,0.02315,0.73682,0.82346,0.80146,0.51346,1.35244,4.82703,0.02669,0.0012476,0.0012476,0.0012476
21,333.696,1.23697,3.53115,0.01723,0.76034,0.76471,0.81758,0.50901,1.41983,4.68595,0.02864,0.001208,0.001208,0.001208
22,350.231,1.24831,3.20847,0.01665,0.77077,0.76471,0.82765,0.47028,1.34457,4.61266,0.02869,0.0011684,0.0011684,0.0011684
23,367.127,1.29614,3.38919,0.01929,0.80009,0.76471,0.805,0.49377,1.29139,4.45904,0.02733,0.0011288,0.0011288,0.0011288
24,383.803,1.22503,3.21433,0.01827,0.82188,0.81474,0.8241,0.54293,1.47887,4.29207,0.03056,0.0010892,0.0010892,0.0010892
25,400.56,1.17323,3.43917,0.01661,0.81811,0.82353,0.84924,0.56196,1.29306,4.20983,0.02469,0.0010496,0.0010496,0.0010496
26,422.634,1.3102,3.10867,0.01839,0.81189,0.82353,0.85168,0.53936,0.90537,4.42004,0.01684,0.00101,0.00101,0.00101
27,443.431,1.19183,3.05415,0.01647,0.75854,0.76471,0.852,0.52621,0.89272,4.11765,0.01679,0.0009704,0.0009704,0.0009704
28,464.665,1.31539,3.3563,0.01908,0.85398,0.82353,0.85569,0.54279,0.88201,3.97461,0.0167,0.0009308,0.0009308,0.0009308
29,486.116,1.24838,2.92752,0.01825,0.92499,0.88235,0.93161,0.57069,1.00185,3.98515,0.01966,0.0008912,0.0008912,0.0008912
